,id,city,lat,temp,humidity,cloudiness,windspeed
0,3491355,Black River,18.0264,84.2,57,13,5.68
1,5973108,Hearst,49.6835,23.25,87,100,7.0
2,3598787,Champerico,14.3,93.74,69,14,7.07
3,2155415,New Norfolk,-42.7826,49.5,98,39,2.75
4,5574999,Boulder,40.0833,49.73,29,1,0.0
5,118191,Rūdsar,37.1376,51.78,73,27,5.91
6,1735106,George Town,5.4112,76.95,88,20,0.0
7,1636426,Manggar,-2.8833,78.94,84,100,9.8
8,286987,Nizwá,22.9333,69.62,43,0,5.14
9,1515029,Ulaangom,49.9811,10.83,74,55,3.31
10,735365,Loutrós,40.5883,62.47,86,92,1.66
11,8079926,Labuhan,-6.8844,76.17,90,100,3.29
12,5855927,Hilo,19.7297,78.53,65,1,6.91
13,3450909,Rondonópolis,-16.4708,87.6,63,99,5.28
14,301101,Serik,36.9169,68.25,83,86,6.24
15,2026023,Bukachacha,52.9833,-0.76,94,92,1.21
16,3377301,Mabaruma,8.2,83.57,70,100,6.33
17,2070998,Geraldton,-28.7667,70.21,83,90,12.66
18,2032614,Baruun-Urt,46.6806,8.06,98,79,4.38
19,371745,Kutum,14.2,71.15,19,0,9.95
20,2110227,Butaritari,3.0707,81.27,78,61,13.31
21,2122090,Pevek,69.7008,0.88,83,100,1.74
22,3622247,Puerto Limón,10.0,78.69,83,75,8.05
23,1295765,Sittwe,20.15,74.52,69,100,6.71
24,2598243,Soubre,5.7856,79.5,80,70,5.23
25,2983272,Arrondissement de Rochefort,45.9167,41.05,76,98,10.33
26,2208425,Zuwārah,32.9312,61.93,54,100,23.2
27,2161515,Kiama,-34.6833,56.68,86,64,7.23
28,2514651,Los Llanos de Aridane,28.6585,62.35,72,40,13.8
29,3421319,Nuuk,64.1835,39.81,100,90,26.46
30,2112444,Kamaishi,39.2667,40.39,70,3,5.1
31,1501000,Kyshtovka,56.555,13.48,96,69,7.02
32,1633419,Padang,-0.9492,76.71,86,89,1.88
33,3385826,Umarizal,-5.9906,96.12,29,100,11.79
34,6050416,La Tuque,47.4334,26.85,46,98,2.3
35,5954718,Flin Flon,54.7682,13.84,79,90,5.75
36,5887798,Assiniboia,49.6334,48.02,57,93,14.97
37,3430443,Necochea,-38.5473,63.18,88,100,9.69
