id,city,country,lat,long,temp,humidity,cloudiness,windspeed
2155415,New Norfolk,AU,-42.7826,147.0587,53.2,73,45,1.99
2400547,Gamba,GA,-2.65,10.0,82.04,75,98,11.27
1501377,Kungurtug,RU,50.5994,97.5228,2.21,89,52,1.72
1794794,Shouguang,CN,36.88,118.7375,37.29,56,0,7.94
2656258,Barrhead,GB,55.7992,-4.3929,37.96,74,93,5.99
1634614,Nabire,ID,-3.3667,135.4833,76.6,90,100,2.66
5972762,Hay River,CA,60.8156,-115.7999,-2.22,84,75,3.44
3474574,Palmas,BR,-10.2128,-48.3603,84.07,74,75,2.3
3899539,Antofagasta,CL,-23.65,-70.4,68.25,63,44,9.98
3386931,Tamandaré,BR,-8.7597,-35.1047,87.04,55,98,11.41
1106677,Bambous Virieux,MU,-20.3428,57.7575,80.85,78,75,11.5
1852357,Shimoda,JP,34.6667,138.95,51.48,71,0,9.69
2015852,Svetlaya,RU,46.5389,138.3297,23.16,71,100,8.32
2174444,Bowen,AU,-20.0167,148.2333,79.5,82,89,7.56
5690532,Minot,US,48.2325,-101.2963,36.46,70,90,4.61
1789945,Xiaoweizhai,CN,26.1903,107.5125,46.45,76,48,3.2
686090,Asău,RO,46.4333,26.4,41.92,77,100,5.55
2156643,Mount Gambier,AU,-37.8333,140.7667,50.43,91,30,2.08
53157,Qandala,SO,11.472,49.8728,77.49,60,0,6.87
1521762,Kurchum,KZ,48.5722,83.6542,10.71,78,1,4.32
962367,Richards Bay,ZA,-28.783,32.0377,77.99,79,100,6.96
3516171,Barra de Tecoanapa,MX,16.5167,-98.75,79.72,69,95,1.63
3835869,Santiago del Estero,AR,-27.7951,-64.2615,88.54,26,54,12.55
3175096,Laas,IT,46.6166,10.7002,36.14,93,100,6.42
2110227,Butaritari,KI,3.0707,172.7902,81.19,77,96,11.03
1242110,Kalmunai,LK,7.4167,81.8167,78.26,85,92,7.14
249842,Buşayrā,JO,30.7376,35.6078,53.94,48,0,3.85
986717,Kruisfontein,ZA,-34.0033,24.7314,62.89,76,100,18.63
1180729,Dalbandin,PK,28.8947,64.4101,62.13,22,0,3.65
3670383,Saladoblanco,CO,1.9924,-76.0434,73.54,66,96,3.56
1062663,Mahajanga,MG,-15.7167,46.3167,87.82,62,40,4.61
6165406,Thompson,CA,55.7435,-97.8558,-21.84,76,40,0.0
103630,Najrān,SA,17.4924,44.1277,72.25,16,0,8.39
933815,Dekar,BW,-21.5333,21.9333,87.31,29,100,8.99
4034551,Faanui,PF,-16.4833,-151.75,80.8,73,43,17.78
